Name,Marktwert,Verein,Alter
Erling Haaland,"200,00 Mio. €",Norwegen,Erling Haaland
Erling Haaland,N/A,N/A,N/A
Vinicius Junior,"200,00 Mio. €",Brasilien,Vinicius Junior
Vinicius Junior,N/A,N/A,N/A
Lamine Yamal,"180,00 Mio. €",Spanien,Lamine Yamal
Lamine Yamal,N/A,N/A,N/A
Jude Bellingham,"180,00 Mio. €",England,Jude Bellingham
Jude Bellingham,N/A,N/A,N/A
Kylian Mbappé,"170,00 Mio. €",Frankreich,Kylian Mbappé
Kylian Mbappé,N/A,N/A,N/A
Bukayo Saka,"150,00 Mio. €",England,Bukayo Saka
Bukayo Saka,N/A,N/A,N/A
Florian Wirtz,"140,00 Mio. €",Deutschland,Florian Wirtz
Florian Wirtz,N/A,N/A,N/A
Jamal Musiala,"140,00 Mio. €",Deutschland,Jamal Musiala
Jamal Musiala,N/A,N/A,N/A
Cole Palmer,"130,00 Mio. €",England,Cole Palmer
Cole Palmer,N/A,N/A,N/A
Phil Foden,"130,00 Mio. €",England,Phil Foden
Phil Foden,N/A,N/A,N/A
Federico Valverde,"130,00 Mio. €",Uruguay,Federico Valverde
Federico Valverde,N/A,N/A,N/A
Rodri,"130,00 Mio. €",Spanien,Rodri
Rodri,N/A,N/A,N/A
Pedri,"120,00 Mio. €",Spanien,Pedri
Pedri,N/A,N/A,N/A
Declan Rice,"110,00 Mio. €",England,Declan Rice
Declan Rice,N/A,N/A,N/A
Rodrygo,"100,00 Mio. €",Brasilien,Rodrygo
Rodrygo,N/A,N/A,N/A
Alexander Isak,"100,00 Mio. €",Schweden,Alexander Isak
Alexander Isak,N/A,N/A,N/A
Martin Ødegaard,"100,00 Mio. €",Norwegen,Martin Ødegaard
Martin Ødegaard,N/A,N/A,N/A
Lautaro Martínez,"95,00 Mio. €",Argentinien,Lautaro Martínez
Lautaro Martínez,N/A,N/A,N/A
Julián Alvarez,"90,00 Mio. €",Argentinien,Julián Alvarez
Julián Alvarez,N/A,N/A,N/A
Alexis Mac Allister,"90,00 Mio. €",Argentinien,Alexis Mac Allister
Alexis Mac Allister,N/A,N/A,N/A
Harry Kane,"90,00 Mio. €",England,Harry Kane
Harry Kane,N/A,N/A,N/A
Luis Díaz,"85,00 Mio. €",Kolumbien,Luis Díaz
Luis Díaz,N/A,N/A,N/A
Moisés Caicedo,"80,00 Mio. €",Ecuador,Moisés Caicedo
Moisés Caicedo,N/A,N/A,N/A
Michael Olise,"80,00 Mio. €",Frankreich,Michael Olise
Michael Olise,N/A,N/A,N/A
Bruno Guimarães,"80,00 Mio. €",Brasilien,Bruno Guimarães
Bruno Guimarães,N/A,N/A,N/A
